time, bid price, ask price, bid quantity, ask quantity, spread,
Mon Feb 10 23:20:24 2020, 9850.5, 9851.0, 609522.0, 1331591.0, 0.5 USD,
Mon Feb 10 23:20:26 2020, 9850.5, 9851.0, 610295.0, 1585709.0, 0.5 USD,
Mon Feb 10 23:20:28 2020, 9850.5, 9851.0, 587298.0, 1618413.0, 0.5 USD,
Mon Feb 10 23:20:30 2020, 9850.5, 9851.0, 582052.0, 1794034.0, 0.5 USD,
Mon Feb 10 23:20:32 2020, 9850.5, 9851.0, 1064902.0, 1670568.0, 0.5 USD,
Mon Feb 10 23:20:34 2020, 9850.5, 9851.0, 704435.0, 1474568.0, 0.5 USD,
Mon Feb 10 23:20:36 2020, 9850.5, 9851.0, 700607.0, 1489030.0, 0.5 USD,
Mon Feb 10 23:20:38 2020, 9850.5, 9851.0, 704166.0, 1484329.0, 0.5 USD,
Mon Feb 10 23:20:40 2020, 9850.5, 9851.0, 702169.0, 1485044.0, 0.5 USD,
Mon Feb 10 23:20:42 2020, 9850.5, 9851.0, 719623.0, 1485204.0, 0.5 USD,
Mon Feb 10 23:20:44 2020, 9850.5, 9851.0, 719771.0, 1509174.0, 0.5 USD,
Mon Feb 10 23:20:47 2020, 9850.5, 9851.0, 719771.0, 1509174.0, 0.5 USD,
Mon Feb 10 23:20:49 2020, 9850.5, 9851.0, 772447.0, 1507666.0, 0.5 USD,
Mon Feb 10 23:20:51 2020, 9850.5, 9851.0, 773509.0, 1615390.0, 0.5 USD,
Mon Feb 10 23:20:53 2020, 9850.5, 9851.0, 1231470.0, 1487795.0, 0.5 USD,
Mon Feb 10 23:20:55 2020, 9850.5, 9851.0, 1203684.0, 1500301.0, 0.5 USD,
Mon Feb 10 23:20:57 2020, 9850.5, 9851.0, 764185.0, 1500502.0, 0.5 USD,
Mon Feb 10 23:20:59 2020, 9850.5, 9851.0, 814252.0, 1502220.0, 0.5 USD,
Mon Feb 10 23:21:01 2020, 9850.5, 9851.0, 912077.0, 1504320.0, 0.5 USD,
Mon Feb 10 23:21:03 2020, 9850.5, 9851.0, 912107.0, 1510543.0, 0.5 USD,
Mon Feb 10 23:21:05 2020, 9850.5, 9851.0, 1378091.0, 1512426.0, 0.5 USD,
Mon Feb 10 23:21:07 2020, 9850.5, 9851.0, 1438091.0, 1506807.0, 0.5 USD,
Mon Feb 10 23:21:09 2020, 9850.5, 9851.0, 1403501.0, 1413751.0, 0.5 USD,
Mon Feb 10 23:21:11 2020, 9850.5, 9851.0, 1637219.0, 695102.0, 0.5 USD,
Mon Feb 10 23:21:13 2020, 9850.5, 9851.0, 1719163.0, 594852.0, 0.5 USD,
Mon Feb 10 23:21:15 2020, 9850.5, 9851.0, 1592199.0, 606691.0, 0.5 USD,
Mon Feb 10 23:21:17 2020, 9850.5, 9851.0, 1573354.0, 606594.0, 0.5 USD,
Mon Feb 10 23:21:19 2020, 9850.5, 9851.0, 1456050.0, 1434584.0, 0.5 USD,
Mon Feb 10 23:21:21 2020, 9850.5, 9851.0, 1456050.0, 1464107.0, 0.5 USD,
Mon Feb 10 23:21:23 2020, 9850.5, 9851.0, 1448152.0, 1451837.0, 0.5 USD,
Mon Feb 10 23:21:25 2020, 9850.5, 9851.0, 1441152.0, 1453579.0, 0.5 USD,
Mon Feb 10 23:21:28 2020, 9850.5, 9851.0, 1007293.0, 1581955.0, 0.5 USD,
Mon Feb 10 23:21:30 2020, 9850.5, 9851.0, 977027.0, 1583233.0, 0.5 USD,
Mon Feb 10 23:21:32 2020, 9850.5, 9851.0, 953498.0, 1610288.0, 0.5 USD,
Mon Feb 10 23:21:34 2020, 9850.5, 9851.0, 954316.0, 1604808.0, 0.5 USD,
Mon Feb 10 23:21:36 2020, 9850.5, 9851.0, 964315.0, 1623627.0, 0.5 USD,
Mon Feb 10 23:21:38 2020, 9850.5, 9851.0, 1100828.0, 1559990.0, 0.5 USD,
Mon Feb 10 23:21:40 2020, 9850.5, 9851.0, 1091711.0, 1438475.0, 0.5 USD,
